,Type,Age,Breed1,Gender,Color1,Color2,MaturitySize,FurLength,Vaccinated,Sterilized,Health,Fee,PhotoAmt,Adopted
0,Cat,3,Tabby,Male,Black,White,Small,Short,No,No,Healthy,100,1,Yes
1,Cat,1,Domestic Medium Hair,Male,Black,Brown,Medium,Medium,Not Sure,Not Sure,Healthy,0,2,Yes
2,Dog,1,Mixed Breed,Male,Brown,White,Medium,Medium,Yes,No,Healthy,0,7,Yes
3,Dog,4,Mixed Breed,Female,Black,Brown,Medium,Short,Yes,No,Healthy,150,8,Yes
4,Dog,1,Mixed Breed,Male,Black,No Color,Medium,Short,No,No,Healthy,0,3,Yes
5,Cat,3,Domestic Short Hair,Female,Cream,Gray,Medium,Short,No,No,Healthy,0,2,Yes
6,Cat,12,Domestic Long Hair,Male,Black,No Color,Medium,Long,No,Not Sure,Healthy,300,3,Yes
7,Cat,2,Domestic Medium Hair,Female,Gray,No Color,Medium,Medium,No,No,Healthy,0,6,Yes
8,Cat,12,Domestic Medium Hair,Female,Black,White,Medium,Medium,Not Sure,Not Sure,Healthy,0,2,No
9,Dog,2,Mixed Breed,Male,Black,Brown,Medium,Short,No,No,Healthy,0,7,Yes
10,Cat,3,Domestic Long Hair,Female,Black,Brown,Large,Long,Yes,No,Healthy,50,2,Yes
11,Dog,2,Mixed Breed,Male,Brown,Cream,Medium,Long,Yes,No,Healthy,0,1,Yes
12,Dog,3,Mixed Breed,Female,Brown,Cream,Medium,Medium,Not Sure,Not Sure,Healthy,0,2,Yes
13,Dog,78,Terrier,Male,Black,White,Medium,Medium,Not Sure,Not Sure,Healthy,0,2,No
14,Cat,6,Domestic Short Hair,Female,Brown,No Color,Small,Short,Yes,Yes,Healthy,0,1,Yes
15,Dog,8,Mixed Breed,Female,Brown,No Color,Medium,Short,No,Yes,Healthy,10,2,No
16,Dog,2,Mixed Breed,Female,Black,No Color,Medium,Short,No,No,Healthy,0,8,Yes
17,Dog,12,Mixed Breed,Female,Brown,White,Medium,Medium,No,Yes,Healthy,0,7,Yes
18,Dog,10,Mixed Breed,Female,Black,Brown,Medium,Medium,Yes,Yes,Healthy,0,0,No
19,Cat,3,Domestic Short Hair,Male,Brown,White,Small,Short,No,No,Healthy,0,19,Yes
20,Cat,36,Persian,Male,Golden,No Color,Large,Medium,Yes,Yes,Healthy,0,3,Yes
21,Cat,2,Persian,Male,Golden,No Color,Medium,Medium,No,No,Healthy,0,11,Yes
22,Cat,1,Domestic Short Hair,Female,Black,No Color,Medium,Short,No,No,Healthy,0,2,Yes
23,Dog,14,Rottweiler,Male,Black,Brown,Large,Short,Yes,No,Healthy,1,0,Yes
24,Cat,1,Domestic Short Hair,Female,Brown,White,Small,Short,No,No,Healthy,0,1,Yes
25,Cat,1,Domestic Short Hair,Male,Black,No Color,Small,Short,No,No,Healthy,0,1,Yes
26,Cat,3,Domestic Short Hair,Female,Black,White,Small,Short,Yes,No,Healthy,1,5,No
